cumulative_return,cagr,annualized_volatility,var_95,cvar_95,mdd,sharpe_ratio,sortino_ratio,calmar_ratio,alpha,beta,information_ratio,window,reward,test_start,test_end
0.5405658050859644,0.6923115132581672,0.18929422459841083,0.01439855245053768,0.01975219166170467,0.08023438244323468,2.7792467247467116,5.59553463530238,8.628613970425624,0.607240994113649,0.580651925470134,4.169035820091948,w1,return,2022-01-01,2022-12-31
1.0694700526496528,1.4239529060674667,0.10911155186561304,0.0075881474572420116,0.010457038629935547,0.03692686745563084,8.114627871106164,14.718947810496635,38.56143247943804,0.7693655862045018,0.560677161895072,6.814965981451513,w2,return,2023-01-01,2023-12-31
1.0796491602143445,1.4490495247412536,0.10287722314839629,0.006148517896607518,0.007433341538296504,0.01730005648142451,8.706494720485473,21.033516551348516,83.75981467442799,0.7894280430426486,0.5073573556169372,6.750503828247522,w3,return,2024-01-01,2024-12-31
1.3818773064206253,1.9369728258403258,0.1179165419482818,0.004213367037735879,0.006568637607653033,0.02642537434701661,9.136796093406376,26.259356373951668,73.29973079677517,1.016924666994829,0.3308535005967243,5.281251636123351,final,return,2025-01-01,2025-12-31
0.3326539033536333,0.41850166096625063,0.17338127542108167,0.015147469435036183,0.021901362194120887,0.10816364000169217,2.016371983355574,3.3003235586187896,3.869152896109112,0.4181086862582525,0.4902177721036691,2.7653837739218914,w1,sharpe,2022-01-01,2022-12-31
1.4872624121111193,2.032131575652776,0.11784285223274098,0.00808352117203176,0.010422172036496076,0.02784291760245302,9.413094146020772,18.300641181214118,72.98558307243421,1.0167566167278441,0.44700516572554205,7.217565240486199,w2,sharpe,2023-01-01,2023-12-31
1.6889314719315167,2.353554016306353,0.11220611027576369,0.0060454001229256395,0.00943571002781391,0.021151027162743218,10.783910795018231,20.919473611353148,111.27374562934016,1.122017819906092,0.42013812055197275,8.089422693458632,w3,sharpe,2024-01-01,2024-12-31
2.4818090802912547,3.705279861594817,0.15020848728779787,0.0045764115990698335,0.007499780454351144,0.027391011228859993,10.310237996357923,32.16252135272411,135.27356951651433,1.494595575874261,0.296019156647018,6.79575745060049,final,sharpe,2025-01-01,2025-12-31
-0.11801353679792162,-0.20231494526469074,0.1792204706887882,0.01824628545179963,0.024568602467009003,0.15069338124220327,-1.2612478184947287,-1.9604362273249896,-1.342560261087501,-0.08407741624025927,0.5830064555146356,0.11779602399165215,w1,mdd,2022-01-01,2022-12-31
0.5098000974434583,0.6512581778532178,0.11581034640325426,0.010032652561813593,0.013730520380085164,0.06197737791456756,4.3306798135162765,6.938826757118299,10.50799823688801,0.3864846807982652,0.5559359738598917,2.7383046854413444,w2,mdd,2023-01-01,2023-12-31
0.3762677063745346,0.4780033417813452,0.1025961524346876,0.009314585907757283,0.011737928640842438,0.07041574357353642,3.8080578488356327,6.922885726786149,6.7883021256767355,0.3153711787455704,0.35959265361335996,1.4657556706497343,w3,mdd,2024-01-01,2024-12-31
0.8281973209542327,1.1148034765947292,0.13760341621984892,0.009372982165068388,0.01228405945571986,0.03457210249952285,5.442901854388988,11.455766763176198,32.24575296252565,0.668559032493497,0.44002455048917255,3.641431219991284,final,mdd,2025-01-01,2025-12-31
