date,episode_return
2022-02-18,0.001023692038655281
2022-02-22,-0.0031808589555323125
2022-02-23,0.00044297111313790086
2022-02-24,0.0030997984223067763
2022-02-25,0.02281219607889652
2022-02-28,0.005714015689492226
2022-03-02,-0.0049342709548771384
2022-03-03,0.006526942338049412
2022-03-04,0.013398850850760936
2022-03-07,-0.015999283550679685
2022-03-08,0.013518700961768628
2022-03-10,0.0186510949164629
2022-03-11,-0.004005009220913052
2022-03-14,-0.0095530188575387
2022-03-15,0.01974502738714218
2022-03-16,0.02442364287376404
2022-03-17,0.009693811725080013
2022-03-18,-0.008470798751711845
2022-03-21,-0.012588048262894154
2022-03-22,0.006735526350140571
2022-03-23,-0.006269238731265068
2022-03-24,0.012709205877780915
2022-03-25,-0.0015279639657586812
2022-03-28,0.004886201879382134
2022-03-29,0.02383037267923355
2022-03-30,-0.010971342155337334
2022-03-31,-0.00669859940558672
2022-04-01,0.004506495021283627
2022-04-04,0.004643848764896393
2022-04-05,-0.020023900043964385
2022-04-06,-0.0005506878150627017
2022-04-07,-0.001768423006683588
2022-04-08,-0.005128661456704139
2022-04-11,-0.010868478339910507
2022-04-12,-0.007952053751051427
2022-04-13,0.014763036006689071
2022-04-14,-0.01117788482606411
2022-04-18,-0.00468386617526412
2022-04-19,0.013804201194643975
2022-04-20,0.007781462015211582
2022-04-21,-0.004758471044152975
2022-04-22,-0.00428305030092597
2022-04-25,0.0014517983132973315
2022-04-26,0.00040744090043008327
2022-04-27,-0.0028110743291676044
2022-04-28,0.017000055721402167
2022-04-29,-0.0003480409801006317
2022-05-02,-0.00045817030705511564
2022-05-03,0.004112738135457039
2022-05-04,0.027497410801053047
2022-05-06,-0.02334711786210537
2022-05-09,-0.020510291898250578
2022-05-10,0.0055992578029632565
2022-05-11,0.012280357380211354
2022-05-12,0.0025225033793598414
2022-05-13,0.006681120479106903
2022-05-16,-0.0029626609697937967
2022-05-17,0.012981491762399674
2022-05-18,0.002304490717500448
2022-05-19,0.005899277467280626
2022-05-20,0.0038739889338612558
2022-05-23,0.009507940891385078
2022-05-24,-0.0023003461502492427
2022-05-25,0.009836747634410859
2022-05-26,0.006710287630558014
2022-05-27,0.02179897182881832
2022-05-31,0.003396568500250578
2022-06-02,0.01159213914424181
2022-06-03,-0.0069086668580770495
2022-06-07,0.014091453865170479
2022-06-08,-0.009778255821764469
2022-06-09,-0.011243052023649216
2022-06-10,-0.014649033471941948
2022-06-13,-0.02778112794160843
2022-06-14,0.0002104214157909155
2022-06-15,0.007137551827728748
2022-06-16,-0.022254254311323166
2022-06-17,0.0036303554490208626
2022-06-21,-0.002735177567973733
2022-06-22,0.013427644804120065
2022-06-23,0.014537144106626512
2022-06-24,0.021838647651672365
2022-06-27,0.0032787134259939193
2022-06-28,-0.0022012912832200526
2022-06-29,0.004797140063345432
2022-06-30,-0.007273712743073701
2022-07-01,0.010735109275579453
2022-07-05,0.0018933547988533974
2022-07-06,-0.0008647224579006434
2022-07-07,0.012890841129422188
2022-07-08,0.0026338950388133525
2022-07-11,-0.009632784093916416
2022-07-12,-0.0060064378701150415
2022-07-13,-0.0019967289911583066
2022-07-14,-0.011923137278854848
2022-07-15,0.010835276389122009
2022-07-18,0.0010577547445893287
2022-07-19,0.024359628093242644
2022-07-20,-0.0011960315199568868
2022-07-21,0.009402584359049797
2022-07-22,-0.005375001272559166
2022-07-25,0.0016997860960662366
2022-07-26,-0.010769733440876008
2022-07-27,0.01723321402668953
2022-07-28,0.009592680576443672
2022-07-29,0.00901465415507555
2022-08-01,-0.0010247899156063795
2022-08-02,-0.005735457776486873
2022-08-03,0.01464327257424593
2022-08-04,0.004121988409757614
2022-08-05,-0.0034708739664405584
2022-08-08,0.0014363619033247233
2022-08-09,-0.0006407040208578109
2022-08-10,0.02019583896994591
2022-08-11,0.003992386735975743
2022-08-12,0.018153446084260942
2022-08-16,0.0016176270764321089
2022-08-17,-0.011619091656804085
2022-08-18,-0.004005979114770889
2022-08-19,-0.013343102338910102
2022-08-22,-0.00901273013651371
2022-08-23,-0.00019156168028712267
2022-08-24,0.003043895270675421
2022-08-25,0.013328216069936753
2022-08-26,0.0023674112390726807
2022-08-29,-0.00961790052652359
2022-08-30,0.003434616403281689
2022-08-31,-0.005868211975693703
2022-09-01,-0.004908205176144838
2022-09-02,0.0010279878813773393
2022-09-06,0.00013710548449307684
2022-09-07,0.01877166703641415
2022-09-08,-0.0011532631274312733
2022-09-13,0.012296924953162671
2022-09-14,-0.004272213085740805
2022-09-15,-0.004766128298640251
2022-09-16,-0.006065168330073357
2022-09-19,0.00219817328453064
2022-09-20,-0.00653570629581809
2022-09-21,-0.01645378768891096
2022-09-22,-0.022918522703647613
2022-09-23,-0.0011719411104917526
2022-09-26,-0.017797548213601112
2022-09-27,-0.0005413410849869251
2022-09-28,0.02332649439573288
2022-09-29,-0.004438470696285367
2022-09-30,-0.00501984182856977
2022-10-04,0.04943241251707077
2022-10-05,-0.00993778218626976
2022-10-06,-0.0063484114326536655
2022-10-07,-0.008175258928537368
2022-10-11,-0.005495244027674198
2022-10-12,-0.0023132377929985523
2022-10-13,0.018227669194340705
2022-10-14,-0.0008789353374391794
2022-10-17,0.020499573150277138
2022-10-18,0.0019265246845781804
2022-10-19,-0.010272901700437069
2022-10-20,-0.006578197236359119
2022-10-21,0.0160121994048357
2022-10-24,-0.0006490812176838517
2022-10-25,0.02155581065416336
2022-10-26,-0.0008494059558492154
2022-10-27,0.008999970963597299
2022-10-28,0.009372826996445656
2022-10-31,-0.00842762954160571
2022-11-01,0.007519273965060711
2022-11-02,-0.005602309548854828
2022-11-03,-0.003452954403311014
2022-11-04,0.02696769834160805
2022-11-07,0.007137196500599384
2022-11-08,0.007520605912804604
2022-11-09,-0.0037776344582438467
2022-11-10,0.05845710005760193
2022-11-11,0.018658240589499473
2022-11-14,-0.013688870950043201
2022-11-15,0.013708249014616012
2022-11-16,0.00030700884889811283
2022-11-17,-0.004717486289143562
2022-11-18,0.0021801927246153357
2022-11-21,-0.001792622827552259
2022-11-22,0.0036227393060922625
2022-11-23,0.009530469992756843
2022-11-25,-0.0006546617173589765
2022-11-28,-0.00684494347423315
2022-11-29,0.002140662520006299
2022-11-30,0.03291480618715286
2022-12-01,0.005602490775287151
2022-12-02,0.0002597088281065226
2022-12-05,-0.012492377620935441
2022-12-06,-0.009213803987205029
2022-12-07,0.006220068952441216
2022-12-08,0.003505623856186867
2022-12-09,-0.0003417127575725317
2022-12-12,0.0005497971870005131
2022-12-13,0.009043360775709152
2022-12-14,0.0046387284450232985
2022-12-15,-0.013814096733927727
2022-12-16,-0.0010545494055375455
2022-12-19,-0.002374464599788189
2022-12-20,-0.0008980223139515146
2022-12-21,0.009155569931864739
2022-12-22,-0.005132653042674065
2022-12-23,-0.0079887181609869
2022-12-27,-0.015539240592718124
2022-12-28,-0.008451352707296609
2022-12-29,0.018978090611100198
2023-02-17,-0.005535420574247837
2023-02-21,-0.009509640590846538
2023-02-22,-0.0016317659987136722
2023-02-23,0.007167965541779995
2023-02-24,-0.010664158394932746
2023-02-27,0.003186321570724249
2023-02-28,0.001127232263237238
2023-03-02,0.008080396813154221
2023-03-03,0.014788772487640382
