#{"t_start": 1779630862.3473332, "env_id": "None"}
r,l,t
-9.384749,141,27.19847
-9.405062,128,27.726832
-5.852297,130,27.806919
-10.932535,147,27.895963
-7.679911,125,27.971068
-13.18123,158,28.068294
-10.746226,128,28.145341
-9.061282,143,28.230834
-5.017179,131,28.310461
-7.188074,128,28.387376
-6.922401,128,28.466991
-5.718528,130,28.546981
-5.794696,128,28.635492
-13.1663,158,28.731121
-8.0076,119,28.802161
-9.714716,147,28.89193
-8.40031,128,28.968605
-11.788212,156,29.510667
-7.676836,127,29.58663
-9.018358,124,29.662469
-7.1603,124,29.738067
-6.074392,129,29.816147
-6.597509,128,29.895531
-9.398661,141,29.980519
-6.423775,128,30.058994
-5.027009,128,30.136926
-5.255527,128,30.214335
-5.492375,128,30.292364
-8.754482,128,30.369818
-6.256194,128,30.44794
-6.357159,124,30.521951
-7.916452,130,30.599543
-15.192397,168,31.149722
-7.428815,127,31.226813
-8.003768,128,31.302472
-6.595394,128,31.380283
-8.25173,128,31.460037
-9.132463,147,31.547785
-5.688193,127,31.6237
-6.356262,128,31.699493
-5.463386,125,31.77536
-6.638093,128,31.852859
-10.620732,147,31.940452
-14.06596,163,32.039646
-7.74101,124,32.113329
-6.194997,131,32.192447
-5.238172,128,32.267138
-10.008404,128,32.77141
-5.823531,128,32.849707
-5.482554,128,32.925414
-6.157305,128,33.001062
-10.62278,147,33.08954
-5.812678,127,33.166366
-5.364649,127,33.241718
-6.694311,135,33.32126
-6.014164,128,33.398301
-6.332452,128,33.476435
-5.481665,126,33.551683
-6.706714,127,33.62836
-6.326862,128,33.70401
-5.512205,128,33.780485
-5.451779,130,33.85852
-7.591685,128,33.936469
-5.750323,128,34.452227
-5.820719,130,34.531154
-5.944691,128,34.609289
-6.840495,128,34.686141
-8.383404,130,34.764821
-6.50785,131,34.843981
-7.137678,130,34.925772
-4.691359,128,35.002933
-5.614341,128,35.081407
-5.777005,131,35.160866
-9.067285,141,35.246355
-5.940235,130,35.325196
-6.434481,130,35.407142
-4.785637,128,35.487507
-5.132029,130,35.565979
-6.73661,136,35.649831
-9.596204,147,36.180414
-6.210645,131,36.261478
-6.220372,128,36.339149
-5.019379,131,36.419168
-5.073341,128,36.497607
-5.284291,130,36.576856
-5.921214,130,36.657139
-5.02876,130,36.736163
-6.536596,128,36.814319
-6.269654,128,36.89226
-6.031773,126,36.969129
-5.287852,130,37.049119
-6.671622,128,37.129187
-5.444878,130,37.211653
-9.151756,147,37.302517
-4.793475,127,37.381139
-9.475502,147,37.917967
-5.446331,130,37.998255
-5.576482,128,38.076067
-6.387001,128,38.153281
-5.400327,128,38.230416
-9.781532,147,38.320538
-5.362157,125,38.396284
-4.626562,130,38.476672
-5.541644,128,38.553211
-5.920077,128,38.633202
-5.669423,131,38.713772
-5.994261,130,38.791918
-4.830922,131,38.869638
-5.484571,130,38.948184
-5.63266,128,39.027022
-5.053296,128,39.542747
-8.110478,141,39.627729
-5.864981,127,39.705027
-8.60944,147,39.792653
-5.190891,130,39.870088
-4.465306,128,39.946991
-5.260229,128,40.025287
-9.429641,147,40.115635
-4.977774,131,40.19506
-6.049915,128,40.272206
-9.630377,147,40.359911
-7.676291,128,40.437244
-4.644321,128,40.515522
-4.96726,126,40.592147
-5.948897,128,40.668398
-9.446721,147,41.192417
-4.706488,130,41.272132
-6.471515,130,41.349437
-5.104749,131,41.428296
-5.078789,131,41.513661
-11.827742,157,41.609249
-4.809749,128,41.685578
-4.630985,128,41.763798
-5.165045,128,41.841872
-5.135405,130,41.920284
-5.779492,131,41.999733
-8.458743,141,42.083862
-4.783228,130,42.162557
-5.031149,128,42.240568
-4.332024,128,42.317271
-5.005758,128,42.394273
-4.930153,128,42.91432
-4.132589,128,42.991991
-7.350042,141,43.077667
-3.864108,128,43.155274
-3.923108,128,43.23298
-4.065193,128,43.310465
-4.50275,128,43.387711
-8.845813,146,43.476199
-11.000176,158,43.572925
-4.644306,128,43.649872
-4.70607,128,43.727509
-4.418934,130,43.805996
-4.702831,130,43.884726
-5.136345,131,43.964953
-4.604977,126,44.0421
-4.193314,128,44.11861
-5.135821,128,44.637299
-4.495668,128,44.714799
-4.03808,128,44.792766
-4.88185,128,44.86997
-4.55041,128,44.948092
-4.34306,128,45.026659
-4.042346,125,45.10197
-5.287669,130,45.180561
-4.961722,128,45.259171
-4.851489,130,45.336428
-4.676187,128,45.414921
-12.250218,156,45.508121
-4.341036,130,45.585768
-9.223114,149,45.675699
-4.742481,128,45.750988
-4.500916,128,46.263416
-4.052151,128,46.342184
-13.557657,163,46.441553
-4.646542,126,46.516956
-5.22758,130,46.596885
-9.4819,147,46.684791
-4.437336,127,46.762704
-4.006768,130,46.841209
-8.103029,147,46.930865
-3.861347,128,47.008786
-4.393495,128,47.084942
-4.713976,130,47.163826
-4.823156,128,47.241825
-5.049707,130,47.319723
-5.229487,126,47.396316
-4.884966,128,47.473948
-4.575149,128,47.989755
-4.100694,128,48.066869
-11.451842,158,48.161793
-4.365666,128,48.238568
-4.208548,128,48.31609
-4.013122,130,48.395621
-3.770305,128,48.472246
-4.098877,128,48.548654
-5.290753,128,48.626946
-8.658487,147,48.715346
-4.43605,128,48.792523
-4.082511,131,48.870238
-3.998782,124,48.945896
-4.62664,128,49.022216
-7.173162,141,49.107597
-4.032645,128,49.622839
-4.459997,128,49.699154
-4.298238,128,49.777088
-4.989598,128,49.854998
-4.29773,128,49.932021
-4.203676,128,50.010926
-4.394262,128,50.087506
-4.4156,128,50.165803
-4.464932,128,50.242838
-4.478047,130,50.322195
-3.815539,128,50.398466
-4.398193,128,50.475797
-4.200554,128,50.551758
-3.926822,128,50.629912
-3.983226,128,50.707579
-3.876678,130,50.785013
-5.146075,128,51.300245
-3.619298,128,51.377849
-3.915968,128,51.45501
-4.209,131,51.53326
-4.75459,128,51.610796
-4.283993,130,51.689876
-4.53622,130,51.767008
-9.166851,149,51.856176
-4.459183,128,51.932852
-4.326063,126,52.010435
-4.133792,127,52.087134
-4.254618,128,52.165372
-4.506394,128,52.242451
-4.229931,128,52.31932
-3.723305,128,52.397181
-4.490805,128,52.47376
-4.03692,128,52.986306
-3.954986,127,53.063562
-4.386261,130,53.142578
-3.428038,128,53.21868
-3.63971,128,53.296101
-4.464992,131,53.375111
-4.023482,130,53.452177
-4.400229,128,53.52986
-3.830341,130,53.607358
-4.465638,128,53.684388
-4.188698,130,53.76284
-9.99243,156,53.8567
-4.806363,131,53.934614
-3.6562,124,54.01028
-4.194592,126,54.086143
-4.922847,128,54.163301
-3.948423,128,54.677399
-3.644026,128,54.755914
-3.842413,128,54.833167
-4.576936,128,54.912167
-4.168444,128,54.990075
-10.989677,158,55.086354
-4.87041,128,55.164131
-4.344316,128,55.241846
-3.542146,128,55.317849
-3.881777,130,55.397854
-4.734009,128,55.474882
-4.491741,128,55.551821
-3.989755,130,55.63099
-4.15476,128,55.709173
-4.483622,128,55.786038
-3.922664,128,56.30082
-6.966621,141,56.386909
-3.512851,128,56.463467
-8.11177,147,56.552374
-3.573737,128,56.630466
-3.6412,128,56.709676
-4.075938,128,56.786479
-4.038211,128,56.86553
-3.592294,128,56.943063
-3.712233,130,57.021616
-4.018671,128,57.099704
-6.45894,141,57.184937
-3.914497,131,57.264698
-3.945946,128,57.342515
-3.895251,131,57.422626
-4.112928,130,57.501021
-3.860231,128,58.015499
-4.224697,130,58.095951
-3.964765,130,58.174556
-4.198855,131,58.253245
-3.680617,128,58.330378
-3.720601,128,58.408961
-3.567559,131,58.489165
-3.48648,128,58.566493
-4.333168,128,58.643985
-8.305751,147,58.733135
-3.765915,128,58.810529
-3.562046,128,58.888034
-4.004081,131,58.966369
-3.467302,128,59.044049
-3.862498,130,59.123623
-3.935041,130,59.201086
-3.308461,128,59.717438
-3.905617,128,59.796565
-3.059519,124,59.872334
-3.789821,127,59.947817
-3.366755,128,60.026016
-4.097224,130,60.105675
-3.736563,130,60.183442
-8.905484,146,60.271749
-4.165007,128,60.348768
-4.131917,130,60.466619
-3.92639,130,60.668286
-3.908854,128,60.746457
-8.090286,147,60.834237
-3.129675,128,60.911854
-3.910527,128,60.990641
-8.662848,147,61.516999
-4.122671,131,61.59667
-10.826561,158,61.69195
-3.162725,128,61.770129
-3.803488,128,61.847858
-3.69935,130,61.926633
-4.493581,128,62.002776
-3.406177,128,62.080969
-3.584465,128,62.160399
-3.996244,131,62.238783
-4.046193,127,62.315373
-11.356928,158,62.410623
-6.350774,141,62.496019
-7.341613,146,62.5845
-3.839219,130,62.662933
-4.050375,128,63.17676
-4.040545,128,63.254258
-3.738987,130,63.331518
-3.480394,128,63.408828
-3.411924,130,63.488247
-3.841317,131,63.566199
-3.924222,128,63.643514
-3.319942,128,63.718323
-3.879456,131,63.79838
-3.946493,130,63.876154
-3.592858,128,63.95248
-3.331809,128,64.029634
-3.216086,128,64.106885
-3.505046,130,64.184572
-3.538626,130,64.262288
-3.931998,131,64.341151
-4.133453,131,64.858136
-4.316646,131,64.936339
-3.826226,128,65.014586
-3.355573,128,65.092812
-3.60112,128,65.170229
-3.338484,128,65.247725
-4.000659,131,65.326602
-3.178604,128,65.407008
-3.60765,128,65.486294
-3.404098,128,65.563439
-3.60244,131,65.643285
-3.948233,130,65.722439
-3.860746,130,65.807041
-3.515547,131,65.891797
-4.396448,128,65.968732
-10.611617,156,66.063354
-3.24093,128,66.579308
-3.729227,128,66.656227
-3.396926,128,66.733223
-3.661903,128,66.810398
-3.927453,130,66.889774
-3.689627,130,66.967039
-3.81289,127,67.043307
-3.935302,128,67.121425
-6.994654,143,67.207086
-3.032631,128,67.283934
-6.601454,141,67.369332
-3.597016,128,67.446598
-3.630825,130,67.778072
-3.980634,128,67.86011
-3.446221,128,67.939075
-3.22851,128,68.016184
-3.557768,128,68.550774
-7.685962,147,68.640933
-3.344568,131,68.719555
-4.156821,128,68.796775
-3.490653,128,68.87365
-3.83468,130,68.953935
-3.724812,128,69.030632
-3.99657,131,69.109303
-3.672485,130,69.186904
-3.427609,131,69.267041
-3.295193,128,69.343842
-3.86504,128,69.421312
-3.886828,128,69.497696
-3.030762,128,69.576686
-4.282371,128,69.654185
-3.731925,131,70.173136
-3.727838,130,70.250599
-3.009216,128,70.328604
-3.569833,130,70.459952
-11.943515,169,70.581463
-3.680813,130,70.663489
-3.92886,128,70.74705
-3.748987,128,70.826373
-3.710891,131,70.906874
-3.521437,128,70.983424
-6.109749,141,71.068263
-3.94829,131,71.147043
-3.459121,130,71.225618
-3.849063,131,71.303761
-3.675141,131,71.382074
-3.468274,128,71.46029
-3.418416,130,71.976983
-3.420043,128,72.055263
-6.624707,141,72.142062
-3.297461,130,72.220057
-3.524174,128,72.296797
-3.218816,128,72.374099
-3.219404,128,72.452166
-3.415287,128,72.528968
-3.621689,130,72.608379
-3.37526,129,72.685
-3.911906,130,72.765162
-3.788312,131,72.844734
-3.540835,128,72.921968
-3.212454,130,73.000891
-3.263447,128,73.080152
-3.805272,128,73.598862
-3.557198,131,73.679185
-3.295554,128,73.758256
-3.433733,128,73.902076
-3.848353,130,74.068033
-3.414373,128,74.165977
-3.714834,131,74.282379
-4.20273,131,74.402407
-7.702788,147,74.542192
-3.391628,128,74.626887
-3.59839,131,74.719273
-3.879663,131,74.815936
-3.252866,128,74.906165
-3.490877,130,75.005669
-3.692517,130,75.107399
-3.33765,131,75.211135
-4.072895,130,75.891231
-3.193845,130,75.985191
-3.877895,130,76.082141
-3.225429,128,76.178042
-3.54428,131,76.273505
-3.652559,130,76.401833
-3.293254,128,76.50074
-3.3818,130,76.588066
-3.813159,131,76.672033
-3.380948,128,76.756736
-3.737115,130,76.834328
-3.781403,130,76.914626
-10.450101,158,77.009993
-3.427134,131,77.089158
-3.214472,130,77.16726
-3.571715,128,77.245813
-3.241787,131,77.773046
-10.449172,164,77.872929
-3.176377,128,77.949191
-3.584714,130,78.02844
-2.980924,128,78.106119
-3.563569,131,78.186489
-5.723012,141,78.272158
-7.270934,147,78.361562
-6.160152,141,78.44647
-3.448136,131,78.537904
-3.575943,130,78.621159
-3.259974,128,78.701541
-3.15948,128,78.780198
-3.346598,128,78.856316
-3.662437,128,78.931265
-3.537983,130,79.47686
-3.253301,130,79.554787
-2.9068,128,79.633316
-3.5874,131,79.711092
