#{"t_start": 1779630946.899571, "env_id": "None"}
r,l,t
-36.209019,147,0.115841
-26.796758,128,0.195657
-47.109268,168,0.296215
-36.412062,118,0.366935
-28.465158,119,0.440089
-27.256652,119,0.510738
-39.1285,119,0.586504
-41.581586,128,0.672328
-43.989441,118,0.763378
-27.394537,131,0.857762
-44.146361,119,0.963677
-24.417995,119,1.067709
-33.155134,128,1.352817
-39.415466,127,1.475166
-32.671564,124,1.658047
-36.959987,128,1.739198
-30.379016,131,2.292057
-39.869965,131,2.385486
-39.448354,115,2.45502
-43.114583,131,2.532848
-36.894996,128,2.610602
-29.297046,127,2.687196
-29.180225,130,2.764716
-33.088827,128,2.841993
-44.536049,164,2.941373
-41.202287,128,3.020289
-52.165173,164,3.119377
-28.359436,127,3.195974
-44.015897,158,3.291518
-36.112736,118,3.3616
-33.362663,118,3.431081
-34.03836,128,4.069144
-31.019361,128,4.16364
-27.889776,119,4.240292
-46.552206,169,4.344583
-39.508701,127,4.423966
-41.753686,128,4.50563
-27.02335,121,4.579578
-31.909067,124,4.65481
-214.779178,448,4.93533
-37.090586,147,5.031674
-37.421624,128,5.125245
-33.459683,128,5.231222
-60.284409,169,5.358237
-35.143331,119,5.991461
-20.59134,121,6.117217
-32.280459,147,6.257656
-27.562191,147,6.377031
-46.784935,141,6.476074
-38.454402,146,6.568452
-28.475984,168,6.66945
-33.756926,127,6.745957
-35.859115,128,6.823026
-34.461341,118,6.893909
-30.139558,118,6.976056
-38.954316,158,7.071977
-33.834521,128,7.156629
-22.269949,121,7.245783
-33.321453,119,7.33481
-25.833139,119,8.057765
-35.381522,147,8.173239
-35.235594,119,8.263728
-41.798534,130,8.398874
-35.843075,128,8.482342
-25.581255,128,8.562298
-28.177875,128,8.639188
-36.74995,128,8.71635
-28.532284,127,8.79514
-33.229984,118,8.866858
-38.72012,131,8.953234
-26.919819,128,9.031435
-30.365791,124,9.111798
-37.704969,118,9.184921
-39.856977,143,9.271411
-32.363387,141,9.354755
-47.754843,164,9.892523
-36.317862,119,9.973693
-33.614055,119,10.049817
-35.554764,116,10.120745
-32.409771,116,10.190776
-47.917842,169,10.29157
-31.749582,118,10.363125
-42.962403,166,10.462997
-31.558576,131,10.544066
-34.254966,128,10.621342
-33.826971,141,10.705105
-40.865835,128,10.781222
-47.088232,167,10.885963
-48.515539,163,10.994164
-30.817785,124,11.07255
-52.398664,168,11.625517
-23.969908,130,11.703935
-38.400245,143,11.789574
-45.947109,167,11.889775
-33.39223,163,11.990649
-22.308376,119,12.067685
-32.981976,128,12.145043
-87.350878,262,12.307655
-23.760024,128,12.385726
-26.9529,119,12.458104
-28.011131,128,12.53537
-31.252202,118,12.60588
-22.873988,130,12.68306
-40.903625,147,12.769739
-36.230989,169,13.313535
-38.641351,164,13.412186
-35.450608,119,13.483678
-29.115526,130,13.561778
-60.942238,168,13.713741
-35.042043,169,13.833792
-31.086258,119,13.910416
-31.214499,146,14.002115
-27.251596,131,14.07983
-37.688862,116,14.150827
-50.658086,158,14.244616
-24.787073,131,14.323376
-23.985055,130,14.401312
-41.818039,127,14.476324
-32.690117,119,14.547739
-44.953698,147,15.077886
-33.038885,168,15.178643
-23.901005,124,15.252952
-32.395331,159,15.347821
-52.020664,166,15.448145
-22.218667,128,15.524222
-43.151951,169,15.625025
-34.499177,164,15.724516
-28.906602,128,15.801605
-25.719222,128,15.878087
-30.953091,128,15.954681
-52.6537,167,16.05508
-28.948115,128,16.135252
-33.098567,157,16.665422
-44.290015,168,16.766646
-38.924862,128,16.843402
-25.207049,119,16.913875
-36.209278,169,17.01589
-35.197142,146,17.104126
-35.698149,147,17.190385
-51.254211,163,17.286894
-23.104348,131,17.363808
-33.270082,147,17.453131
-30.066023,119,17.523513
-21.780142,119,17.593981
-20.27475,131,17.672584
-24.369197,119,17.744551
-32.971886,118,17.815056
-20.401778,131,18.322684
-34.079873,159,18.42
-23.728876,128,18.495651
-34.395412,131,18.574082
-37.215772,119,18.645555
-18.734888,130,18.725036
-30.546318,141,18.808577
-25.495206,125,18.882456
-23.375981,128,18.959243
-26.17412,147,19.046568
-30.633458,130,19.129222
-32.956882,147,19.222704
-32.564094,159,19.317193
-24.190951,128,19.393863
-34.153816,119,19.464547
-43.003991,130,19.542704
-27.612036,147,20.106669
-29.453353,158,20.201806
-25.737622,127,20.277197
-19.766584,119,20.347003
-26.718169,128,20.424563
-20.002533,130,20.503138
-49.151105,168,20.604234
-33.522977,164,20.702071
-26.278628,127,20.78495
-27.473583,147,20.871894
-45.425808,166,20.97103
-38.686722,118,21.041101
-28.286898,146,21.128768
-28.805956,128,21.205547
-19.707357,128,21.719284
-23.293191,128,21.79747
-22.943396,128,21.874455
-29.877462,126,21.94904
-35.642513,168,22.050737
-22.836665,141,22.134505
-19.792492,128,22.210013
-23.833467,128,22.286524
-24.246031,119,22.3572
-38.239147,166,22.457995
-25.859824,119,22.52813
-23.981998,128,22.604622
-35.427874,163,22.701045
-29.252926,130,22.783196
-40.139676,163,22.901066
-32.783064,127,23.418539
-41.298056,164,23.519117
-28.215487,146,23.607641
-19.638218,131,23.687373
-17.242991,128,23.763763
-32.360258,156,23.859233
-20.118301,130,23.939027
-31.912726,157,24.034139
-22.833212,119,24.107049
-13.195282,128,24.185293
-26.390219,141,24.269998
-22.399637,131,24.35031
-15.842431,130,24.427433
-31.663379,147,24.518266
-36.790935,158,24.613513
-37.931882,157,25.145932
-26.385487,149,25.236814
-17.555426,130,25.315238
-38.611725,164,25.414174
-33.20428,158,25.511145
-29.257835,119,25.584349
-22.309316,130,25.662191
-24.513433,126,25.739081
-20.112822,128,25.815584
-27.274782,128,25.894492
-22.202553,130,25.973534
-24.552382,128,26.051197
-38.722722,168,26.152313
-35.365829,163,26.252172
-31.073832,159,26.784898
-15.533501,131,26.86549
-23.982772,146,26.955816
-29.230585,164,27.054939
-16.234463,128,27.132343
-19.818153,131,27.212364
-32.875401,159,27.308174
-17.908379,127,27.386295
-31.485065,159,27.482458
-32.76056,166,27.585506
-36.989633,166,27.686794
-29.833353,146,27.774341
-30.096171,156,27.870849
-14.967982,131,27.950366
-30.412312,164,28.485353
-32.915038,157,28.581847
-32.546886,160,28.678949
-30.492652,156,28.77343
-18.647272,124,28.848104
-23.184096,143,28.936103
-12.480355,128,29.012872
-26.828279,141,29.097899
-34.709502,159,29.194761
-17.763104,127,29.27266
-18.867279,119,29.344684
-14.819561,128,29.422842
-28.130892,147,29.511835
-35.7782,167,29.614261
-13.729214,128,30.1276
-33.490462,164,30.227873
-18.416291,128,30.305369
-29.589837,163,30.404518
-16.355583,128,30.481042
-33.095842,166,30.584214
-12.657574,128,30.660742
-14.942471,128,30.73786
-14.873179,131,30.817865
-28.533663,158,30.91828
-45.82778,164,31.017813
-17.894614,131,31.095552
-30.277268,156,31.189328
-17.101193,130,31.267268
-20.803924,147,31.356898
-23.182562,124,31.86866
-35.911224,166,31.969084
-21.024707,128,32.0469
-31.115052,168,32.149609
-24.787265,149,32.239734
-13.596187,124,32.314645
-15.990514,128,32.392104
-27.817086,158,32.487817
-11.592952,128,32.564057
-31.578457,156,32.659286
-26.412877,147,32.747263
-18.372729,127,32.825515
-35.50269,169,32.929796
-12.932801,124,33.008953
-25.340813,147,33.535641
-14.154599,128,33.612935
-23.083155,147,33.703831
-13.945131,128,33.781242
-22.342924,141,33.866803
-20.341173,119,33.941998
-18.976663,141,34.028026
-19.184471,127,34.105466
-12.683992,127,34.181746
-36.430383,147,34.271377
-14.097236,128,34.348438
-30.277209,156,34.442376
-28.579917,146,34.530009
-13.963894,124,34.604769
-18.389185,128,34.682271
-12.059403,131,35.198388
-12.126747,128,35.276002
-34.655478,164,35.375017
-25.366976,147,35.463882
-24.726277,147,35.553417
-13.53743,128,35.630383
-14.642737,128,35.708724
-23.093951,146,35.797445
-13.34048,131,35.876577
-14.670282,130,35.954222
-22.308053,128,36.030118
-33.299248,157,36.12496
-15.756051,130,36.203918
-10.251771,128,36.280714
-20.705163,143,36.367946
-28.378737,157,36.900355
-13.50984,130,36.978446
-13.292873,128,37.055587
-13.41045,128,37.139708
-12.893659,128,37.218031
-19.998363,141,37.302531
-16.092198,128,37.379364
-13.124873,128,37.457186
-14.081674,131,37.537047
-14.555844,131,37.615377
-19.597812,141,37.700653
-22.765599,146,37.789748
-12.888621,128,37.867266
-12.979,128,37.944017
-24.257601,147,38.032471
-13.945245,131,38.548644
-33.153558,156,38.644081
-12.730657,128,38.72181
-15.480651,128,38.800222
-22.059678,147,38.889374
-14.740601,130,38.973945
-13.907473,128,39.051022
