#{"t_start": 1779630770.5168982, "env_id": "None"}
r,l,t
-7.359144,147,0.11287
-5.488538,128,0.193803
-9.539634,168,0.298378
-7.405714,118,0.374081
-5.824228,119,0.46227
-5.569665,119,0.540415
-7.958368,119,0.612599
-8.447569,128,0.696785
-8.921118,118,0.768958
-5.589579,131,0.8487
-8.966179,119,0.922527
-5.011766,119,0.995778
-6.75012,128,1.072697
-8.006984,127,1.165277
-6.656633,124,1.255573
-7.508661,128,1.364472
-6.533732,131,2.024638
-7.78577,128,2.103739
-7.695995,141,2.191946
-5.895657,120,2.26481
-6.266011,121,2.370695
-6.767874,118,2.462593
-6.686945,119,2.536393
-8.336482,114,2.605255
-6.702959,124,2.681864
-5.795469,128,2.760223
-8.018412,164,2.860478
-8.104923,128,2.937805
-3.831912,119,3.012722
-7.463986,128,3.091125
-8.775481,119,3.162337
-6.230089,118,3.233634
-6.378005,128,3.760332
-9.84212,168,3.86384
-6.794033,128,3.941814
-8.130595,146,4.031281
-4.647762,121,4.104068
-4.927913,131,4.184555
-5.712977,119,4.255971
-6.233966,119,4.331712
-6.271564,128,4.410061
-9.722742,163,4.509549
-8.309696,130,4.588089
-7.862862,128,4.667142
-7.264724,127,4.743925
-7.436271,118,4.815609
-5.795048,119,4.889812
-7.003212,141,5.427863
-7.814618,127,5.505234
-11.685988,169,5.608708
-5.713902,128,5.686701
-6.218433,128,5.764711
-5.248804,128,5.84292
-6.299054,119,5.934389
-7.779799,118,6.013224
-6.841219,127,6.097229
-8.065755,128,6.178802
-6.823554,118,6.250411
-6.1001,118,6.337116
-7.889758,156,6.436308
-8.346259,118,6.538019
-6.600193,119,6.94381
-7.859069,118,7.064712
-6.039074,130,8.283112
-7.0752,128,8.365072
-7.546593,147,8.459847
-6.112662,118,8.544842
-6.917315,128,8.643953
-8.473764,163,8.752501
-7.803817,168,8.857234
-5.943996,120,8.946496
-8.032105,163,9.048682
-5.904201,119,9.122086
-25.791191,311,9.313722
-6.231723,118,9.395637
-6.512075,141,9.482507
-4.775497,131,9.574153
-6.213476,118,10.13485
-10.607073,163,10.242493
-4.969631,130,10.330719
-5.809375,119,10.409522
-8.417671,118,10.499435
-6.762112,131,10.625915
-12.048782,166,10.744321
-7.44128,127,10.830177
-6.084407,128,10.911534
-4.011406,119,10.986041
-6.307671,118,11.151358
-8.948753,164,11.293921
-6.071202,118,11.395162
-5.998944,128,11.482448
-7.831264,130,11.571157
-6.693339,119,11.65337
-9.530006,164,12.384125
-4.834282,118,12.519163
-7.417756,128,12.646647
-6.490265,158,12.782261
-7.076885,166,12.89198
-8.610885,168,13.006968
-7.389181,131,13.092644
-4.114361,124,13.167906
-4.315792,130,13.247476
-6.22999,130,13.385498
-10.651738,163,13.511929
-21.106458,311,13.748326
-5.866914,128,13.842565
-6.021862,119,14.715966
-6.740354,164,14.842431
-9.481732,147,14.946716
-6.151497,128,15.03596
-7.745469,168,15.154305
-6.05255,128,15.253169
-9.013652,169,15.375007
-4.084311,128,15.716913
-5.551077,119,15.799944
-4.498828,130,15.880866
-10.132216,168,15.981759
-4.266496,128,16.058601
-5.348493,128,16.152163
-7.311153,119,16.247618
-8.907562,164,16.881073
-7.416462,158,17.344131
-4.55315,128,17.435116
-5.549111,119,17.520915
-8.998609,166,17.648581
-8.034116,149,17.768354
-5.519464,128,17.860293
-7.309947,166,17.981466
-4.648172,128,18.080556
-6.863668,158,18.194678
-5.069848,128,18.311322
-9.387474,166,18.444415
-4.624159,128,18.53598
-6.571788,147,18.644793
-5.454622,128,18.743205
-5.947014,149,19.451693
-6.109628,147,19.542552
-22.372714,458,19.883699
-9.63653,169,20.00532
-7.610274,158,20.13505
-7.079036,164,20.255351
-7.190187,169,20.398451
-6.23856,147,20.52887
-5.62922,130,20.633213
-4.830634,130,20.731357
-9.523112,164,20.863351
-8.442893,167,21.543682
-6.693903,158,21.655962
-7.672952,168,21.777977
-5.927173,132,21.876277
-8.096482,157,21.991471
-7.925636,164,22.111622
-4.247327,124,22.202423
-6.669633,128,22.297945
-3.298901,130,22.401821
-8.125952,163,22.51951
-5.272022,131,22.61272
-5.353863,130,22.707175
-4.280664,121,22.7917
-5.043721,128,22.885198
-8.010838,164,23.439736
-4.656832,124,23.522981
-7.274023,169,23.638669
-9.165049,169,23.760778
-7.61675,166,23.87369
-5.898142,128,23.961472
-4.640878,128,24.053843
-4.424775,128,24.143375
-7.709162,158,24.261299
-9.1429,164,24.402125
-5.44926,128,24.493428
-7.511661,164,24.596753
-5.921951,126,24.675955
-4.946972,128,24.753567
-10.350516,164,25.385822
-3.282195,128,25.474436
-4.675833,128,25.557436
-4.504476,141,25.713441
-5.4908,149,26.149661
-7.737841,168,26.26955
-4.357099,130,26.37086
-6.270347,126,26.465939
-6.292316,162,26.575234
-4.331341,128,26.664539
-4.868168,128,26.794462
-6.89674,169,26.935712
