#{"t_start": 1779630684.758233, "env_id": "None"}
r,l,t
-3.752909,147,0.865209
-2.82501,128,0.939533
-4.84343,168,1.035609
-3.779921,118,1.108693
-2.994112,119,1.176924
-2.858792,119,1.244879
-4.062101,119,1.314422
-4.305817,128,1.38808
-4.537578,118,1.455628
-2.863959,131,1.530667
-4.568656,119,1.599591
-2.585987,119,1.666943
-3.449493,128,1.739992
-4.080924,127,1.812669
-3.404767,124,1.883865
-3.827245,128,1.956877
-3.453453,131,2.483644
-3.395152,119,2.552155
-3.656061,118,2.61974
-4.869704,147,2.705386
-5.049456,168,2.802569
-2.631913,130,2.877598
-3.346158,128,2.952049
-3.999482,128,3.02729
-3.017924,118,3.094947
-4.25118,127,3.168089
-2.386791,129,3.241116
-3.264684,118,3.309433
-4.310658,127,3.3825
-4.420151,128,3.455338
-2.990117,127,3.528043
-4.396173,167,4.038679
-2.229235,128,4.111942
-3.725634,119,4.180546
-3.684936,118,4.255176
-1.921029,128,4.332238
-2.752325,119,4.400229
-3.726969,124,4.471968
-3.509115,119,4.540015
-4.864443,164,4.633911
-2.952713,147,4.717837
-3.095106,128,4.791746
-6.114037,158,4.882309
-2.200014,119,4.951083
-4.65821,129,5.102377
-4.312822,118,5.203989
-4.757186,158,5.304249
-3.402367,164,5.831355
-3.274057,131,5.906203
-4.855007,163,5.998762
-5.202238,164,6.092666
-2.555703,128,6.16529
-5.954381,164,6.258821
-3.593271,115,6.323836
-5.360892,166,6.417745
-2.851407,128,6.49022
-3.155995,128,6.563322
-3.054632,119,6.630739
-3.046264,126,6.703489
-3.18789,131,6.777063
-3.623535,118,6.84471
-4.306789,164,7.352474
-3.402381,118,7.419841
-3.019496,119,7.488015
-4.1835,131,7.563247
-3.764406,124,7.634487
-6.309627,168,7.730127
-2.762045,130,7.804715
-2.347343,119,7.872305
-3.307465,118,7.940081
-3.238369,119,8.00795
-2.886005,168,8.104224
-3.488933,128,8.176375
-3.044003,130,8.253218
-3.608741,119,8.32743
-2.843475,131,8.412529
-4.241905,119,8.488368
-2.427766,131,9.005664
-3.234845,128,9.079745
-3.138911,119,9.148572
-12.503095,311,9.327945
-3.541539,118,9.396031
-2.447651,130,9.470967
-3.149071,119,9.539069
-4.400005,128,9.612963
-4.15873,118,9.680675
-5.123813,169,9.777254
-4.821229,159,9.868776
-3.258561,119,9.936863
-3.531734,128,10.010767
-2.541259,128,10.086205
-3.331041,147,10.589967
-5.451208,164,10.684237
-4.169179,158,10.774742
-2.327211,119,10.842971
-3.916556,169,10.939418
-3.09184,119,11.007881
-3.672112,130,11.087138
-3.12233,118,11.154594
-3.247257,158,11.245269
-3.204253,119,11.313626
-5.897204,166,11.409068
-4.105784,149,11.494489
-2.89668,119,11.562595
-2.800706,149,11.648854
-2.594581,128,11.721609
-3.305151,118,12.210077
-4.244761,157,12.300425
-4.394872,164,12.394819
-2.580085,128,12.468233
-1.946787,128,12.541959
-4.017254,158,12.632111
-3.380313,128,12.704881
-3.113112,130,12.779493
-3.860653,163,12.872756
-3.419814,118,12.939716
-4.206724,164,13.033517
-2.26132,131,13.10881
-3.257608,119,13.17828
-3.597719,164,13.271674
-3.525837,147,13.837558
-2.688674,128,13.914288
-5.417946,169,14.020293
-3.515185,158,14.116736
-3.931,166,14.219178
-4.371782,164,14.319102
-1.641466,128,14.397077
-5.740372,167,14.498573
-2.90908,130,14.577627
-1.874505,131,14.659827
-5.166213,157,14.755235
-3.308835,169,14.868973
-3.920429,168,14.965417
-1.893484,131,15.04095
-3.22913,141,15.540934
-2.750154,130,15.616356
-2.505107,128,15.690193
-3.323356,128,15.76403
-3.27127,141,15.845144
-2.751758,131,15.921748
-2.49856,127,15.998509
-4.718588,141,16.081101
-4.648767,164,16.178033
-1.994901,119,16.246554
-2.132739,130,16.320891
-16.362506,448,16.579119
-2.384814,131,16.65477
-3.657,158,17.168116
-3.686703,164,17.263047
-2.53046,128,17.336642
-1.811041,131,17.412392
-2.921227,131,17.488241
-3.072349,141,17.570201
-3.9604,160,17.697619
-2.291518,128,17.772219
-1.806742,128,17.850597
-2.732591,131,17.928215
-4.115895,168,18.025041
-2.823007,130,18.099944
-2.01064,131,18.174774
-2.043205,131,18.251961
-2.714238,130,18.327648
-2.250349,127,18.940369
-1.995671,130,19.022654
-4.19955,164,19.128941
-3.634478,164,19.229983
-2.486785,124,19.309536
-3.882074,164,19.412427
-3.274691,166,19.520502
-2.532281,131,19.603495
-4.336303,158,19.703981
-2.76361,146,19.795073
-4.533241,167,19.899196
-3.693078,164,20.001419
-2.465651,143,20.092226
-2.523915,130,20.627421
-2.861562,131,20.707503
-3.490557,164,20.805865
-3.154944,141,20.891876
-1.930612,131,20.970278
-3.723524,159,21.081975
-3.20534,142,21.304176
-2.127443,129,21.381527
-3.407509,158,21.486034
-2.180808,131,21.563762
-2.661568,149,21.658244
-2.235858,127,21.733901
-2.375582,128,21.812248
-1.695498,130,21.888478
-1.841417,130,21.963087
-3.429981,128,22.485017
-3.650615,168,22.58993
-3.08371,141,22.674824
-2.942898,147,22.763092
-1.399262,131,22.841245
-1.848091,128,22.918477
-3.056399,147,23.007136
-3.985029,163,23.210772
-3.92757,164,23.331304
-2.847065,158,23.436277
-2.610239,149,23.527668
-3.510567,158,23.623004
-2.053071,130,23.701499
-2.721297,128,23.778107
-1.565767,129,24.339783
-3.185124,158,24.434961
-1.482712,131,24.512706
-3.444086,159,24.61104
-1.717375,131,24.689096
-2.50717,128,24.764494
-4.096688,168,24.865051
-3.969193,130,24.942313
-1.995037,129,25.01931
-1.570442,128,25.0971
-2.589565,128,25.17543
-1.564672,128,25.253057
-3.635822,167,25.386312
-1.525578,128,25.51037
-1.696028,131,25.593479
-2.816416,146,26.130631
-3.571508,163,26.259183
-3.091297,169,26.365102
-3.513347,158,26.48496
-2.375663,127,26.562398
-1.607493,131,26.645331
-2.091994,130,26.727015
-4.260538,167,26.830541
-1.612637,130,26.911169
-3.435639,164,27.011077
-2.215088,147,27.139219
-1.540371,128,27.22273
-3.01552,146,27.315014
-2.905292,128,27.397596
-3.015513,141,28.125785
-2.206404,131,28.215781
-3.608232,164,28.320024
-2.242075,128,28.401876
-1.569324,128,28.490733
-3.017157,147,28.589637
-2.355118,119,28.663217
-3.358508,158,28.75783
-1.533096,131,28.835053
-3.359866,164,28.9387
-1.640054,127,29.014247
-2.384024,149,29.105026
-2.621582,151,29.195804
-1.344293,131,29.275476
-3.887252,163,29.823538
-3.149334,149,29.914281
-1.19273,129,29.992595
-3.432609,166,30.092602
-1.615651,130,30.171043
-1.360312,130,30.249654
-1.660833,130,30.329026
-1.50357,130,30.408231
-1.402425,130,30.486356
-1.950604,141,30.571025
-1.684186,130,30.649078
-1.597849,128,30.726581
-1.651563,128,30.804145
-1.368121,130,30.882879
-3.229609,149,30.973155
-1.367263,128,31.050016
-1.286507,130,31.590632
-1.712521,130,31.669441
-1.443558,131,31.747991
-3.525597,166,31.848081
-1.57286,131,31.927544
-3.238671,164,32.027493
-1.532296,130,32.109725
-1.35195,128,32.186971
-1.47126,130,32.266602
-1.442543,130,32.341542
-1.517223,131,32.41756
-2.376136,146,32.502627
-2.214042,149,32.594696
-2.252722,128,32.672569
-3.373429,156,33.224395
-1.465995,131,33.304953
-1.527378,130,33.384114
-2.515577,149,33.476206
-1.559916,130,33.555214
-2.793724,169,33.658465
-2.529145,147,33.746389
-1.75471,128,33.824208
-1.258674,128,33.902318
-1.368656,128,33.978841
-1.26498,130,34.060459
-3.208825,156,34.155315
-1.560838,130,34.233283
-3.083962,168,34.334965
-2.693982,158,34.430458
-1.151413,130,34.960819
-1.405266,130,35.039144
-2.705405,149,35.128411
-1.905194,141,35.212095
-3.557964,164,35.312308
-1.662561,130,35.3902
-1.425257,127,35.465947
-1.396468,131,35.545069
-1.290787,130,35.625488
-1.901534,141,35.71015
-1.580394,131,35.789336
-3.0048,157,35.884821
-1.636405,131,35.962387
-1.243096,129,36.040192
-1.348713,128,36.117088
-1.281397,131,36.63394
-1.908874,127,36.710671
-1.290843,130,36.788799
-1.420855,128,36.865642
-1.28093,130,36.944055
-3.247757,163,37.041437
-1.423888,130,37.119168
-2.40711,147,37.206614
-2.941583,158,37.302103
-1.287077,128,37.378645
-1.387459,128,37.456773
-1.9965,141,37.551389
-1.426693,131,37.643077
-3.216374,164,37.757802
-1.254115,130,37.852126
-1.389596,130,38.497614
-1.382921,130,38.585186
-1.270357,129,38.667904
-2.33471,147,38.757502
-1.426316,131,38.838658
-2.149127,140,38.924455
