#{"t_start": 1779630684.758233, "env_id": "None"}
r,l,t
-1.567264,130,39.003662
-1.184069,130,39.083168
-1.44507,128,39.160354
-1.159424,131,39.239544
-1.777818,141,39.325849
-1.374001,131,39.407005
-1.429288,130,39.487449
-2.962933,158,39.584194
-1.235343,129,39.662111
-1.352318,130,40.191742
-1.145426,128,40.270423
-1.3054,131,40.351428
-1.276604,130,40.429683
-1.188968,128,40.508286
-1.942291,141,40.59482
-1.960594,141,40.680769
-1.100821,128,40.758966
-1.079418,129,40.837973
-3.33247,169,40.94112
-2.953458,159,41.038672
-1.067317,130,41.118528
-1.405421,130,41.197256
-2.92277,156,41.292945
-1.328217,128,41.371373
-1.463286,128,41.898001
-1.185306,128,41.977628
-1.118174,130,42.057819
-1.356429,128,42.135761
-1.297751,130,42.21523
-1.117813,130,42.294677
-2.069264,141,42.380209
-1.165937,128,42.458539
-1.267321,130,42.538644
-2.749179,158,42.636516
-1.034326,128,42.714305
-1.29661,128,42.793495
-1.138091,128,42.872173
-1.153697,128,42.951027
-1.548357,128,43.029518
-1.420857,125,43.558786
-1.051328,128,43.638707
-1.160255,129,43.717833
-1.115777,128,43.79505
-1.226807,131,43.875315
-1.140104,130,43.955349
-1.14939,127,44.032249
-1.224318,128,44.110235
-1.284811,128,44.18871
-1.178814,128,44.265816
-1.309715,130,44.34467
-0.973408,128,44.423159
-1.361567,131,44.503453
-1.330418,128,44.5813
-1.127342,130,44.659692
-1.116421,128,44.738004
-1.060277,128,45.383207
-1.04064,129,45.462264
-1.373731,130,45.542634
-1.217317,128,45.620895
-1.264828,130,45.700682
-1.286716,130,45.778812
-2.12434,146,45.869014
-1.095647,128,45.947121
-1.073879,131,46.027449
-1.02302,128,46.105312
-1.699679,140,46.189805
-1.089493,130,46.269153
-1.284622,128,46.353621
-1.206467,131,46.443396
-1.046918,128,46.523313
-1.18093,130,46.604187
-1.23348,130,47.133944
-1.106952,128,47.21174
-1.598426,141,47.299362
-1.138374,128,47.377893
-1.336745,128,47.457053
-0.933239,129,47.536771
-1.268051,128,47.614844
-1.024991,128,47.693895
-1.122347,128,47.773218
-1.164078,131,47.853184
-1.043341,128,47.931321
-1.047362,128,48.010056
-1.031199,130,48.089429
-1.079295,130,48.170266
-1.056887,128,48.248828
-0.954274,128,48.327966
-1.083237,127,48.859088
-1.003373,130,48.938785
-0.954898,128,49.017339
-2.906197,158,49.112825
-1.051118,130,49.191944
-1.098811,130,49.27144
-1.168529,128,49.348692
-1.04606,129,49.428122
-1.047025,129,49.507452
-0.980528,130,49.588041
-1.227728,128,49.666614
-1.091017,128,49.744951
-2.211901,147,49.834459
-2.613074,156,49.929462
-1.263985,128,50.006754
-0.972624,130,50.536176
-1.063859,128,50.61481
-0.957915,130,50.695461
-2.589025,156,50.790925
-1.10721,130,50.871243
-2.460842,156,50.965274
-1.998042,147,51.055307
-1.146278,130,51.134741
-1.085018,130,51.21258
-1.257213,131,51.293953
-0.995573,130,51.37672
-0.883492,128,51.455813
-0.981185,130,51.535391
-1.03183,131,51.614735
-1.036054,128,51.693057
-1.033052,128,52.217126
-0.941379,129,52.295524
-0.846677,130,52.375122
-0.931139,130,52.454607
-1.854736,141,52.541036
-1.12876,129,52.620763
-0.944418,128,52.699176
-0.99218,131,52.779698
-1.07376,128,52.858055
-0.992404,128,52.936997
-0.910818,130,53.017127
-1.007457,128,53.095694
-1.003272,130,53.175181
-1.04083,129,53.253426
-1.05752,131,53.334201
-0.912131,130,53.412916
-1.063502,130,53.947627
-1.090035,130,54.029025
-0.98502,130,54.109285
-1.066326,130,54.190832
-1.087868,131,54.271996
-1.183021,130,54.351725
-1.531838,141,54.438613
-0.875054,128,54.517123
-1.050266,130,54.596698
-0.925427,130,54.676781
-0.840661,128,54.756059
-0.999591,131,54.836532
-0.921003,129,54.914703
-2.803008,158,55.011115
-0.926504,130,55.095357
-0.98344,128,55.174375
-1.000294,131,55.709704
-1.73908,141,55.802931
-0.918826,128,55.883589
-1.117027,130,55.963206
-0.937012,130,56.043988
-0.997334,128,56.122101
-1.025494,130,56.201468
-1.038145,130,56.281014
-0.909653,130,56.360434
-0.821871,131,56.441635
-1.036278,131,56.5232
-0.871105,129,56.602702
-1.123015,130,56.681517
-0.769702,128,56.760922
-0.851755,128,56.840154
-0.996628,130,57.371887
-0.795613,128,57.451392
-0.927737,130,57.532147
-1.372582,140,57.619551
-0.908462,130,57.699325
-1.007537,131,57.778782
-0.875972,128,57.857843
-0.958217,130,57.937699
-1.030781,131,58.018326
-1.835131,147,58.109028
-0.93722,131,58.188342
-1.003787,130,58.268504
-3.148007,163,58.367826
-1.195231,130,58.446477
-0.805836,128,58.524837
-0.861283,130,58.605285
-1.008969,130,59.130434
-1.55849,143,59.218966
-1.080291,129,59.29758
-0.898619,130,59.377712
-1.594902,143,59.466297
-0.707932,130,59.546112
-0.994568,130,59.626847
-0.929017,130,59.708291
-1.09622,130,59.789565
-0.911196,128,59.869413
-0.939799,131,59.949922
-1.552013,140,60.03515
-0.829822,131,60.114863
-0.871379,128,60.194275
-2.649917,157,60.291081
-0.904267,130,60.895119
-0.873183,128,60.973767
-0.837632,130,61.052978
-0.817159,129,61.13098
-0.869837,131,61.210324
-1.749636,146,61.297868
-0.861181,129,61.375894
-0.843743,130,61.454708
-2.689252,158,61.551538
-0.823634,130,61.630064
-0.947326,131,61.710185
-0.92066,131,61.790487
-0.995785,128,61.868816
-0.938259,131,61.947723
-1.134378,131,62.028208
-0.804264,128,62.555881
-0.990762,130,62.637027
-0.987299,130,62.717705
-0.823147,128,62.795498
-0.81921,128,62.87458
-0.808351,130,62.955022
-0.689138,131,63.038787
-0.796536,128,63.1181
-0.992648,130,63.197037
-0.997942,130,63.276788
-0.838514,131,63.356202
-0.971706,130,63.436528
-0.916943,128,63.51552
-0.941397,128,63.593821
-1.098423,130,63.672706
-1.418373,141,63.758889
-0.83455,131,64.289326
-0.871262,128,64.368576
-0.814446,130,64.447691
-0.901036,130,64.527428
-1.007607,131,64.607703
-0.86382,128,64.68691
-0.833576,130,64.766534
-0.908212,131,64.847595
-0.761669,128,64.926032
-0.847441,128,65.004567
-2.444582,156,65.184608
-0.779164,130,65.284094
-1.33861,141,65.39396
-0.88968,130,65.4852
-0.905861,129,65.57637
-0.774292,130,65.662251
-0.747219,128,66.225288
-0.828592,130,66.307238
-1.030113,130,66.38916
-0.858681,128,66.471013
-0.823429,130,66.553953
-0.888708,128,66.642299
-0.891928,131,66.727888
-0.914075,130,66.822918
-0.784399,130,66.91563
-0.903117,131,67.007496
-1.85688,146,67.109954
-1.534542,141,67.204363
-0.875761,130,67.293566
-1.529181,141,67.390155
-0.767018,128,67.475489
-0.774563,130,68.078539
-0.835284,131,68.18211
-0.657627,128,68.269225
-0.785424,130,68.352794
-0.691499,128,68.431218
-0.867594,128,68.509668
-0.729276,128,68.588193
-0.851384,129,68.66802
-0.879542,130,68.759286
-0.671014,128,68.8522
-0.893218,130,68.93673
-2.139787,149,69.028494
-0.84288,129,69.108019
-0.685746,128,69.186325
-0.868507,130,69.265241
-0.780363,131,69.351452
-0.715493,128,69.898594
-0.717571,128,69.977561
-0.701527,131,70.061324
-0.81254,130,70.14314
-1.850677,147,70.233631
-0.727443,128,70.31117
-0.851582,131,70.391254
-0.900924,131,70.47133
-0.808476,130,70.551954
-0.855105,131,70.630828
-0.7807,130,70.710857
-0.945145,131,70.791276
-0.86114,131,70.871804
-0.736214,130,70.951651
-0.760558,129,71.029992
-0.79433,130,71.571682
-0.779799,130,71.653415
-0.735109,128,71.900158
-1.539181,146,71.993691
-0.837066,131,72.089665
-0.755126,130,72.176599
-0.774162,130,72.256724
-1.338547,139,72.34111
-0.805401,129,72.42015
-1.878274,146,72.508574
-0.755998,131,72.589739
-0.868442,131,72.672029
-1.816666,147,72.760626
-0.84423,130,72.8393
-0.766677,130,72.921076
-0.917414,130,73.004783
-2.56174,158,73.589952
-0.817831,130,73.670123
-0.733836,131,73.748772
-0.716264,130,73.828617
-1.590348,143,73.916527
-1.880847,147,74.006283
-0.872325,128,74.0838
-0.81834,130,74.16191
-0.742569,129,74.240461
-0.790872,131,74.320516
-0.707465,130,74.398136
-0.766746,131,74.478579
-0.831458,129,74.556729
-1.552728,141,74.641499
-2.519921,163,74.740293
-0.809069,130,75.31019
-0.779759,130,75.388954
-0.813594,130,75.467861
-0.651881,128,75.545714
-0.753818,130,75.624952
-0.744686,130,75.705063
-0.714471,129,75.783351
-0.847582,130,75.863606
-0.587519,130,75.947398
-0.717274,128,76.024525
-0.753763,130,76.105165
-0.719485,129,76.181538
-0.932252,130,76.260326
-0.687971,131,76.339629
-0.76332,130,76.418663
-0.760932,128,76.495556
-0.749681,131,77.026475
-0.820249,128,77.105893
-0.729851,129,77.18437
-1.524783,147,77.272461
-0.673066,129,77.350489
-0.789962,130,77.42878
-0.72676,130,77.508216
-0.602559,128,77.586545
-0.716903,130,77.664755
-0.883734,130,77.744529
-0.814015,131,77.823559
-0.775323,131,77.903245
-0.633569,128,77.980729
-1.486435,143,78.068857
-0.77506,128,78.145685
-0.70909,130,78.675061
-0.817599,130,78.756374
-0.754449,130,78.834775
-0.738013,130,78.912374
-0.617124,129,78.991387
-0.690599,130,79.070759
-0.743877,131,79.149686
-0.818845,130,79.227242
-0.756276,130,79.305645
-0.766314,131,79.384382
-0.704982,130,79.46277
-0.761923,130,79.542115
-0.792406,131,79.621363
-0.760432,130,79.700316
-0.810219,130,79.779038
-0.795198,130,79.857061
-1.351646,141,80.391953
-0.523664,128,80.471061
-0.716617,130,80.549743
-0.646804,131,80.628648
-0.774063,131,80.707562
-0.697595,129,80.786802
-0.646784,131,80.865677
-0.718531,131,80.944537
-0.667691,131,81.023986
-0.76517,131,81.102982
-0.705587,130,81.181366
-0.605855,129,81.25924
-0.729589,128,81.336872
-0.659979,130,81.416186
-0.73646,129,81.494551
-0.829452,130,81.573516
-0.608559,130,82.100703
-0.658342,130,82.179615
-0.67526,129,82.25707
-0.610748,130,82.335905
-1.340167,140,82.419894
-0.642443,128,82.496902
-1.433673,140,82.581893
-0.822114,131,82.660609
-1.737604,146,82.748802
-0.712331,130,82.827185
-0.712775,130,82.905769
-0.628466,128,82.983941
-0.605344,128,83.071441
-0.738138,130,83.27843
-0.709381,129,83.371428
-0.603344,128,83.896855
-0.789659,130,83.984453
-0.650771,128,84.072466
-0.629623,130,84.152065
-0.738425,130,84.231415
-0.692459,130,84.309995
-0.684688,129,84.388405
-0.644352,130,84.466149
-0.623089,131,84.545394
-0.604653,131,84.623873
-0.693051,130,84.702291
-0.632413,131,84.780214
-0.701287,130,84.859064
-0.571533,130,84.937253
-0.704686,130,85.01458
-0.696931,129,85.09262
