cumulative_return,cagr,annualized_volatility,var_95,cvar_95,mdd,sharpe_ratio,sortino_ratio,calmar_ratio,alpha,beta,information_ratio,lambda,window,reward,test_start,test_end,n_test_days
-0.07980494330712767,-0.3216723593114139,0.2281800589849564,0.020417864012271164,0.035167375856637956,0.15048919893086388,-1.700958723740325,-2.4234719039647334,-2.137511273876826,-0.05344867271646626,0.6909399120962819,0.5943176432692304,0.5,w1,mdd,2022-01-01,2022-12-31,54
-0.09335502021550866,-0.3670434690457359,0.21053052376814665,0.0231149721211195,0.03035511537641287,0.15076262149973493,-2.1723858492742143,-3.0381090290328086,-2.4345787131751435,-0.10927724661464991,0.718604444754608,0.22256724378464546,1.0,w1,mdd,2022-01-01,2022-12-31,54
-0.12149259883056432,-0.34552340973820683,0.22899602402404998,0.024977801614403723,0.03738613922297954,0.1595100466895591,-1.8512088296737808,-2.2459872692448344,-2.1661545269977247,-0.03396671472782391,0.6904944456422666,0.9261192599406477,2.0,w1,mdd,2022-01-01,2022-12-31,77
-0.11748113659984398,-0.3504145874711193,0.19006832010312022,0.020379281463027,0.027570224985480306,0.16027820479738483,-2.269820379509507,-3.4554746257297566,-2.186289694934472,-0.22184248705531875,0.5453036021720582,-0.2736975929597016,5.0,w1,mdd,2022-01-01,2022-12-31,73
